ts,vib_fs,vib_n,ms_capture,ms_total,failed_bursts,bad_frames,retries,total_retries,rms_x,rms_y,rms_z,peak_x,peak_y,peak_z,kurt_x,kurt_y,kurt_z,fdom_x,fdom_y,fdom_z,adom_x,adom_y,adom_z,aud_fs,aud_n,aud_rms,aud_b0,aud_b1,aud_b2,aud_b3
2026-08-26T00:00:27.366+02:00,1000,1024,1024,1053,86,394,3,4938,0.0332,0.0321,0.1369,0.1068,0.1914,2.0605,2.986,7.176,200.392,114.44,160.1,19.26,0.0077,0.0072,0.036,16000,1024,208.95,0.9799,0.0107,0.0072,0.0022
2026-08-26T00:00:57.367+02:00,1000,1024,1024,1053,86,394,1,4939,0.0328,0.0309,0.1201,0.106,0.189,2.0585,2.807,4.376,252.528,75.08,45.04,184.58,0.007,0.0069,0.019,16000,1024,185.93,0.6228,0.261,0.1112,0.005
2026-08-26T00:01:27.366+02:00,1000,1024,1024,1053,86,394,1,4940,0.033,0.0337,0.1606,0.1127,0.1902,1.7381,2.903,9.722,107.315,190.52,20.32,125.12,0.0071,0.0071,0.0277,16000,1024,116.86,0.9195,0.0289,0.0396,0.012
2026-08-26T00:01:57.366+02:00,1000,1024,1024,1053,86,394,0,4940,0.035,0.0323,0.2229,0.1195,0.1935,2.0315,3.109,5.316,77.525,58.55,207.91,117.16,0.0079,0.0069,0.0399,16000,1024,409.87,0.8886,0.0605,0.0472,0.0037
2026-08-26T00:02:27.367+02:00,1000,1024,1024,1053,86,395,1,4941,0.035,0.0308,0.1217,0.1215,0.1951,2.3549,2.987,5.823,256.086,119.97,61.0,53.57,0.0083,0.0071,0.018,16000,1024,288.29,0.9617,0.0272,0.0083,0.0028
2026-08-26T00:02:57.367+02:00,1000,1024,1024,1053,86,395,3,4944,0.3343,0.0323,0.1606,10.6406,0.1949,2.3482,1001.775,7.258,147.816,52.53,61.75,106.55,0.0093,0.0083,0.0161,16000,1024,121.2,0.5884,0.1355,0.2544,0.0217
2026-08-26T00:03:27.368+02:00,1000,1024,1024,1053,86,398,0,4944,0.0412,0.0327,0.2913,0.2234,0.1949,2.317,12.207,6.069,46.141,114.17,183.8,375.2,0.0085,0.008,0.0747,16000,1024,137.41,0.9431,0.0332,0.0171,0.0065
2026-08-26T00:03:57.368+02:00,1000,1024,1024,1053,86,398,1,4945,0.0323,0.0297,0.1376,0.1101,0.1952,2.0412,3.192,7.745,167.984,42.9,189.33,17.16,0.0064,0.0064,0.0253,16000,1024,155.64,0.7216,0.1167,0.1491,0.0126
2026-08-26T00:04:27.369+02:00,1000,1024,1024,1053,86,398,7,4952,0.3345,0.0304,0.1363,10.6402,0.197,2.0371,1000.164,7.393,165.463,45.62,107.13,2.37,0.0305,0.0071,0.0326,16000,1024,299.12,0.9565,0.0231,0.0153,0.005
2026-08-26T00:04:57.370+02:00,1000,1024,1024,1053,86,398,4,4956,0.0333,0.0313,0.1493,0.1496,0.1928,2.0335,3.205,7.886,167.947,56.43,42.12,13.58,0.0081,0.0069,0.0195,16000,1024,110.59,0.881,0.0374,0.076,0.0056
2026-08-26T00:05:27.370+02:00,1000,1024,1024,1053,86,399,14,4970,0.0358,0.0339,0.2133,0.2301,0.1932,2.3275,6.17,8.817,86.974,50.65,1.75,46.1,0.0088,0.0084,0.0478,16000,1024,147.57,0.9608,0.0198,0.0126,0.0068
2026-08-26T00:05:57.370+02:00,1000,1024,1024,1053,86,401,4,4974,0.0329,0.0313,0.4871,0.1062,0.1966,1.9132,3.0,6.743,12.848,45.7,42.86,44.69,0.0075,0.0073,0.1005,16000,1024,281.14,0.8951,0.0504,0.0485,0.0061
2026-08-26T00:06:27.371+02:00,1000,1024,1024,1053,86,402,8,4982,0.0344,0.0313,0.2046,0.2309,0.1932,2.3288,4.815,7.913,86.98,60.63,30.85,304.52,0.008,0.0065,0.0349,16000,1024,302.92,0.9431,0.0405,0.0129,0.0035
2026-08-26T00:06:57.372+02:00,1000,1024,1024,1053,86,402,8,4990,0.033,0.0315,0.109,0.1168,0.1105,2.0254,3.058,3.072,237.338,73.2,48.74,108.51,0.0082,0.007,0.0176,16000,1024,278.37,0.9538,0.0162,0.0279,0.0021
2026-08-26T00:07:27.372+02:00,1000,1024,1024,1053,86,404,1,4991,0.0324,0.033,0.5102,0.1079,0.1967,1.8904,2.923,7.043,11.66,37.15,104.65,62.56,0.0088,0.0061,0.0973,16000,1024,171.7,0.973,0.0124,0.011,0.0035
2026-08-26T00:07:57.371+02:00,1000,1024,1024,1053,86,404,0,4991,0.0309,0.0293,0.1144,0.1252,0.1982,2.0305,3.188,4.67,243.847,166.71,8.8,132.79,0.0058,0.0066,0.018,16000,1024,147.85,0.889,0.0648,0.0393,0.007
2026-08-26T00:08:27.375+02:00,1000,1024,1024,1053,86,404,5,4996,0.0329,0.0297,0.1296,0.1484,0.198,2.0225,3.477,6.122,203.666,83.38,60.92,106.45,0.0081,0.0066,0.019,16000,1024,83.86,0.8526,0.0801,0.0543,0.013
2026-08-26T00:08:57.372+02:00,1000,1024,1024,1053,86,405,0,4996,0.3152,0.0335,0.152,10.0279,0.1977,2.0134,999.868,9.985,122.713,20.9,29.3,225.4,0.0086,0.0064,0.0236,16000,1024,288.61,0.9477,0.0178,0.0319,0.0027
2026-08-26T00:09:27.375+02:00,1000,1024,1024,1053,86,405,14,5010,0.0331,0.0289,0.0943,0.1068,0.1088,2.0206,2.931,2.902,312.354,82.33,9.23,73.79,0.0084,0.0084,0.0174,16000,1024,152.65,0.9532,0.0251,0.0146,0.007
2026-08-26T00:09:57.373+02:00,1000,1024,1024,1053,86,406,1,5011,0.0329,0.0319,0.1649,0.2282,0.1986,2.3156,6.809,6.84,145.434,34.53,54.04,200.31,0.0075,0.0086,0.0424,16000,1024,608.4,0.9944,0.0035,0.0019,0.0002
2026-08-26T00:10:27.373+02:00,1000,1024,1024,1053,86,406,1,5012,0.0337,0.0299,0.1501,0.1039,0.1054,2.0095,2.711,2.98,142.41,134.43,8.08,38.17,0.0082,0.0067,0.0227,16000,1024,137.04,0.9519,0.0208,0.021,0.0064
2026-08-26T00:10:57.373+02:00,1000,1024,1024,1053,86,406,5,5017,0.0328,0.0326,0.162,0.1295,0.2007,2.004,2.924,8.221,126.53,75.07,72.96,99.58,0.0062,0.0071,0.0383,16000,1024,315.17,0.9336,0.0318,0.0315,0.0031
2026-08-26T00:11:27.375+02:00,1000,1024,1024,1053,86,406,2,5019,0.0323,0.0303,0.0456,0.1079,0.0926,0.1316,3.261,2.946,2.738,36.35,137.08,9.8,0.008,0.0085,0.0106,16000,1024,135.82,0.9614,0.0179,0.0143,0.0065
2026-08-26T00:11:57.375+02:00,1000,1024,1024,1053,86,406,3,5022,0.0324,0.031,0.1198,0.1128,0.2015,2.0057,2.98,7.497,195.126,149.53,127.3,117.14,0.0061,0.0071,0.0211,16000,1024,325.95,0.9469,0.0282,0.0216,0.0034
2026-08-26T00:12:27.409+02:00,1000,1024,1058,1088,86,407,15,5037,0.3345,0.0329,0.1761,10.6427,0.2003,1.9929,1000.3,9.847,112.594,42.6,180.14,204.29,0.0093,0.0072,0.0278,16000,1024,235.84,0.9209,0.0525,0.0192,0.0073
2026-08-26T00:12:57.375+02:00,1000,1024,1024,1053,86,409,2,5039,0.3342,0.0293,0.0718,10.6387,0.2025,1.6988,1002.476,4.834,308.601,176.4,59.86,237.36,0.0079,0.007,0.0088,16000,1024,102.99,0.7895,0.0651,0.1314,0.0139
2026-08-26T00:13:27.375+02:00,1000,1024,1024,1053,86,412,2,5041,0.0351,0.0319,0.1605,0.1143,0.2017,2.3016,2.979,5.826,152.994,92.45,125.98,10.34,0.0083,0.0072,0.0345,16000,1024,179.64,0.9447,0.0372,0.0137,0.0044
2026-08-26T00:13:57.377+02:00,1000,1024,1024,1053,86,414,7,5048,0.3345,0.0328,0.1697,10.6414,0.2042,1.9914,1000.558,10.611,111.809,81.75,130.99,197.23,0.0089,0.0058,0.0163,16000,1024,290.87,0.9037,0.0402,0.0518,0.0043
