ts,vib_fs,vib_n,ms_capture,ms_total,failed_bursts,bad_frames,retries,total_retries,cont_rejects,total_cont_rejects,unpublished_bursts,rms_x,rms_y,rms_z,peak_x,peak_y,peak_z,kurt_x,kurt_y,kurt_z,fdom_x,fdom_y,fdom_z,adom_x,adom_y,adom_z,f2_x,f2_y,f2_z,a2_x,a2_y,a2_z,f3_x,f3_y,f3_z,a3_x,a3_y,a3_z,aud_fs,aud_n,aud_rms,aud_b0,aud_b1,aud_b2,aud_b3
2026-08-26T15:13:36.163+02:00,1000,1024,1024,1056,8,225,57,237,23,89,0,0.0284,0.0289,0.1993,0.1132,0.1206,1.3618,3.56,3.866,14.208,41.78,39.94,15.84,0.011,0.0114,0.0724,63.71,16.08,75.38,0.0081,0.0121,0.0692,48.58,10.1,378.88,0.0078,0.0104,0.0682,16000,1024,194.31,0.9809,0.0088,0.0086,0.0017
2026-08-26T15:14:06.162+02:00,1000,1024,1024,1056,8,225,53,290,19,108,0,0.0277,0.0286,0.1476,0.1033,0.1251,1.4035,3.358,3.586,27.48,89.19,37.28,125.46,0.0106,0.0111,0.0517,64.35,2.6,7.25,0.01,0.0079,0.0383,26.47,51.15,105.06,0.0082,0.0078,0.0391,16000,1024,110.34,0.9613,0.0227,0.0111,0.0049
2026-08-26T15:15:06.165+02:00,1000,1024,1024,1056,9,226,4,300,0,110,0,0.0239,0.0267,0.1633,0.0861,0.0915,0.7188,3.15,3.481,12.77,104.25,31.47,248.47,0.0067,0.0091,0.07,15.91,64.85,243.22,0.0065,0.0081,0.061,10.81,171.58,492.05,0.0059,0.0073,0.0579,16000,1024,171.19,0.9453,0.041,0.0099,0.0038
2026-08-26T15:15:36.165+02:00,1000,1024,1024,1056,9,226,0,300,0,110,0,0.0228,0.0227,0.0319,0.0684,0.0961,0.1022,2.742,3.029,2.866,182.33,35.15,35.29,0.006,0.0075,0.0104,2.03,122.18,135.48,0.0058,0.0074,0.0096,42.24,109.34,23.09,0.0059,0.0061,0.0097,16000,1024,186.61,0.7092,0.2629,0.0201,0.0078
2026-08-26T15:16:06.167+02:00,1000,1024,1024,1056,9,226,0,300,0,110,0,0.0232,0.023,0.0814,0.1167,0.0878,0.724,3.729,3.23,45.913,37.13,140.82,140.83,0.006,0.0072,0.0148,49.31,102.28,217.39,0.0068,0.0066,0.0149,123.8,23.11,77.03,0.0059,0.0064,0.0141,16000,1024,770.66,0.9946,0.0029,0.0021,0.0004
2026-08-26T15:16:36.168+02:00,1000,1024,1024,1056,9,227,58,358,21,131,0,0.0263,0.029,0.1761,0.0872,0.1346,1.3785,3.029,4.663,21.736,33.14,78.18,78.12,0.0108,0.0083,0.0502,12.6,43.94,367.01,0.0091,0.008,0.0482,126.72,140.96,337.08,0.0078,0.0077,0.0475,16000,1024,1328.09,0.9789,0.0159,0.0041,0.001
2026-08-26T15:17:06.186+02:00,1000,1024,1039,1072,9,227,60,418,23,154,0,0.026,0.0276,0.1521,0.0789,0.1225,1.405,2.893,3.777,25.37,20.53,22.29,337.48,0.0089,0.011,0.0472,54.85,74.62,434.4,0.0089,0.0112,0.0429,12.76,63.03,88.11,0.0087,0.009,0.0434,16000,1024,277.48,0.8935,0.0401,0.0611,0.0053
2026-08-26T15:17:36.173+02:00,1000,1024,1024,1056,9,227,1,419,0,154,0,0.0236,0.0221,0.0317,0.0798,0.0687,0.0895,3.0,2.882,2.636,70.51,88.2,162.7,0.0092,0.0069,0.0108,121.68,48.01,9.96,0.0081,0.0066,0.0096,61.45,2.59,82.37,0.006,0.0064,0.009,16000,1024,176.76,0.9653,0.0189,0.0119,0.0039
2026-08-26T15:18:36.166+02:00,1000,1024,1024,1056,10,227,0,462,0,175,0,0.0229,0.0224,0.0547,0.0743,0.1007,0.7201,2.838,3.392,87.512,3.48,74.75,158.02,0.0095,0.0071,0.0141,215.9,117.66,15.24,0.0065,0.0075,0.0143,61.73,222.26,6.42,0.0062,0.0066,0.0146,16000,1024,681.31,0.9347,0.0431,0.0175,0.0047
2026-08-26T15:19:06.165+02:00,1000,1024,1024,1056,10,227,4,466,0,175,0,0.0241,0.0225,0.0743,0.0774,0.0846,0.7345,3.125,3.171,59.805,111.27,34.18,89.75,0.0088,0.0094,0.0211,229.57,64.78,34.23,0.0063,0.0072,0.0205,138.32,28.32,427.17,0.0065,0.0063,0.0202,16000,1024,1058.29,0.9813,0.0149,0.0031,0.0006
