ts,health,streak,notify,lof,env,n_peaks,us_inference
2026-08-27T14:10:07.812+02:00,anomaly,1,0,-1.6871,-199.32,1,1942
2026-08-27T14:10:37.810+02:00,nominal,0,0,-0.9874,-8.98,1,1434
2026-08-27T14:11:07.814+02:00,nominal,0,0,-1.0305,-18.13,1,1390
2026-08-27T14:12:09.865+02:00,nominal,0,0,-1.013,-86.27,1,1915
2026-08-27T14:12:39.859+02:00,nominal,0,0,-1.128,-21.38,1,1295
2026-08-27T14:13:09.863+02:00,not_evaluable,0,0,0.0,0.0,0,6
2026-08-27T14:13:39.859+02:00,nominal,0,0,-1.1313,-46.14,1,1353
2026-08-27T14:14:09.860+02:00,nominal,0,0,-0.9773,-36.51,1,1277
2026-08-27T14:14:39.874+02:00,not_evaluable,0,0,0.0,0.0,0,6
2026-08-27T14:15:09.877+02:00,not_evaluable,0,0,0.0,0.0,0,6
2026-08-27T14:15:39.859+02:00,nominal,0,0,-1.0016,-30.01,1,1312
2026-08-27T14:16:09.861+02:00,nominal,0,0,-1.1343,-34.41,1,1351
2026-08-27T14:16:39.865+02:00,nominal,0,0,-1.1114,-39.87,1,1276
2026-08-27T14:17:09.862+02:00,not_evaluable,0,0,0.0,0.0,0,4
2026-08-27T14:17:39.863+02:00,nominal,0,0,-0.9904,-24.76,1,1341
2026-08-27T14:18:09.863+02:00,nominal,0,0,-0.9803,-39.77,1,1356
2026-08-27T14:18:39.861+02:00,not_evaluable,0,0,0.0,0.0,0,7
2026-08-27T14:19:09.862+02:00,nominal,0,0,-1.0315,-30.61,1,1274
2026-08-27T14:19:39.862+02:00,not_evaluable,0,0,0.0,0.0,0,7
2026-08-27T14:20:09.858+02:00,not_evaluable,0,0,0.0,0.0,0,7
2026-08-27T14:21:09.862+02:00,nominal,0,0,-1.0385,-34.68,1,1443
2026-08-27T14:21:39.862+02:00,not_evaluable,0,0,0.0,0.0,0,6
2026-08-27T14:22:09.862+02:00,anomaly,1,0,-1.4757,-313.8,1,1369
2026-08-27T14:22:39.863+02:00,not_evaluable,1,0,0.0,0.0,0,7
2026-08-27T14:23:09.863+02:00,not_evaluable,1,0,0.0,0.0,0,7
2026-08-27T14:23:39.864+02:00,nominal,0,0,-1.0198,-28.55,1,1342
2026-08-27T14:24:09.863+02:00,anomaly,1,0,-1.5133,-279.54,1,1252
2026-08-27T14:24:39.864+02:00,nominal,0,0,-1.0009,-25.33,1,1360
2026-08-27T14:25:09.864+02:00,nominal,0,0,-1.1054,-23.4,1,1390
2026-08-27T14:25:39.865+02:00,anomaly,1,0,-1.7012,-391.55,1,1346
2026-08-27T14:26:09.893+02:00,not_evaluable,1,0,0.0,0.0,0,6
2026-08-27T14:26:39.866+02:00,not_evaluable,1,0,0.0,0.0,0,6
2026-08-27T14:27:09.875+02:00,not_evaluable,1,0,0.0,0.0,0,6
2026-08-27T14:27:39.869+02:00,nominal,0,0,-1.2749,-154.3,1,1376
2026-08-27T14:28:09.872+02:00,nominal,0,0,-1.1657,-76.85,1,1323
2026-08-27T14:28:39.868+02:00,nominal,0,0,-1.4367,-50.69,1,1284
2026-08-27T14:29:09.870+02:00,nominal,0,0,-1.1595,-42.12,1,1345
2026-08-27T14:29:39.869+02:00,nominal,0,0,-1.1304,-36.14,1,1232
2026-08-27T14:30:09.868+02:00,anomaly,1,0,-14.5301,-115789.91,3,1252
2026-08-27T14:30:39.869+02:00,not_evaluable,1,0,0.0,0.0,0,13
2026-08-27T14:31:09.869+02:00,not_evaluable,1,0,0.0,0.0,0,14
2026-08-27T14:31:39.870+02:00,not_evaluable,1,0,0.0,0.0,0,12
2026-08-27T14:32:09.869+02:00,not_evaluable,1,0,0.0,0.0,0,14
2026-08-27T14:32:39.870+02:00,not_evaluable,1,0,0.0,0.0,0,12
2026-08-27T14:33:09.870+02:00,not_evaluable,1,0,0.0,0.0,0,13
2026-08-27T14:33:39.872+02:00,not_evaluable,1,0,0.0,0.0,0,14
2026-08-27T14:34:09.871+02:00,not_evaluable,1,0,0.0,0.0,0,13
2026-08-27T14:34:39.874+02:00,not_evaluable,1,0,0.0,0.0,0,14
2026-08-27T14:35:09.872+02:00,not_evaluable,1,0,0.0,0.0,0,7
2026-08-27T14:35:39.874+02:00,not_evaluable,1,0,0.0,0.0,0,11
2026-08-27T14:36:09.873+02:00,not_evaluable,1,0,0.0,0.0,0,12
2026-08-27T14:36:39.874+02:00,not_evaluable,1,0,0.0,0.0,0,11
2026-08-27T14:37:09.873+02:00,not_evaluable,1,0,0.0,0.0,0,14
2026-08-27T14:37:39.874+02:00,not_evaluable,1,0,0.0,0.0,0,14
2026-08-27T14:38:09.875+02:00,not_evaluable,1,0,0.0,0.0,0,13
2026-08-27T14:38:39.875+02:00,not_evaluable,1,0,0.0,0.0,0,11
2026-08-27T14:39:09.875+02:00,not_evaluable,1,0,0.0,0.0,0,7
2026-08-27T14:39:39.879+02:00,not_evaluable,1,0,0.0,0.0,0,4
2026-08-27T14:40:09.877+02:00,not_evaluable,1,0,0.0,0.0,0,7
2026-08-27T14:41:09.876+02:00,not_evaluable,1,0,0.0,0.0,0,11
2026-08-27T14:41:39.878+02:00,not_evaluable,1,0,0.0,0.0,0,11
2026-08-27T14:42:39.879+02:00,not_evaluable,1,0,0.0,0.0,0,13
2026-08-27T14:43:09.883+02:00,not_evaluable,1,0,0.0,0.0,0,7
2026-08-27T14:43:39.880+02:00,not_evaluable,1,0,0.0,0.0,0,14
2026-08-27T14:44:09.883+02:00,not_evaluable,1,0,0.0,0.0,0,13
2026-08-27T14:44:39.878+02:00,not_evaluable,1,0,0.0,0.0,0,11
2026-08-27T14:45:09.884+02:00,not_evaluable,1,0,0.0,0.0,0,11
2026-08-27T14:45:39.886+02:00,not_evaluable,1,0,0.0,0.0,0,4
2026-08-27T14:46:09.882+02:00,not_evaluable,1,0,0.0,0.0,0,11
2026-08-27T14:46:39.881+02:00,not_evaluable,1,0,0.0,0.0,0,14
2026-08-27T14:47:09.882+02:00,not_evaluable,1,0,0.0,0.0,0,14
2026-08-27T14:47:39.881+02:00,not_evaluable,1,0,0.0,0.0,0,14
2026-08-27T14:48:09.882+02:00,not_evaluable,1,0,0.0,0.0,0,14
2026-08-27T14:48:39.883+02:00,not_evaluable,1,0,0.0,0.0,0,11
2026-08-27T14:49:09.882+02:00,not_evaluable,1,0,0.0,0.0,0,11
2026-08-27T14:49:39.884+02:00,not_evaluable,1,0,0.0,0.0,0,14
2026-08-27T14:50:09.885+02:00,not_evaluable,1,0,0.0,0.0,0,14
2026-08-27T14:50:39.883+02:00,not_evaluable,1,0,0.0,0.0,0,14
2026-08-27T14:51:09.887+02:00,not_evaluable,1,0,0.0,0.0,0,13
2026-08-27T14:51:39.884+02:00,not_evaluable,1,0,0.0,0.0,0,10
2026-08-27T14:52:09.889+02:00,not_evaluable,1,0,0.0,0.0,0,14
2026-08-27T14:52:39.886+02:00,not_evaluable,1,0,0.0,0.0,0,13
2026-08-27T14:53:09.895+02:00,not_evaluable,1,0,0.0,0.0,0,14
2026-08-27T14:53:39.895+02:00,not_evaluable,1,0,0.0,0.0,0,7
2026-08-27T14:54:09.887+02:00,not_evaluable,1,0,0.0,0.0,0,6
2026-08-27T14:54:39.887+02:00,not_evaluable,1,0,0.0,0.0,0,14
2026-08-27T14:55:09.890+02:00,not_evaluable,1,0,0.0,0.0,0,11
2026-08-27T14:55:39.888+02:00,not_evaluable,1,0,0.0,0.0,0,12
2026-08-27T14:56:09.888+02:00,not_evaluable,1,0,0.0,0.0,0,12
