ts,vib_fs,vib_n,ms_capture,ms_total,failed_bursts,bad_frames,retries,total_retries,rms_x,rms_y,rms_z,peak_x,peak_y,peak_z,kurt_x,kurt_y,kurt_z,fdom_x,fdom_y,fdom_z,adom_x,adom_y,adom_z,aud_fs,aud_n,aud_rms,aud_b0,aud_b1,aud_b2,aud_b3
2026-08-25T20:14:46.379+02:00,1000,1024,1024,1053,0,0,1,6,0.1032,0.1454,0.4383,0.249,0.3434,6.1406,2.271,2.241,188.092,447.5,447.53,448.32,0.0877,0.1167,0.081,16000,1024,1741.33,0.0062,0.9912,0.0017,0.0008
2026-08-25T20:15:16.370+02:00,1000,1024,1024,1053,0,0,0,6,0.0984,0.1511,0.078,0.2457,0.3522,0.2039,2.294,2.181,2.423,49.64,446.86,446.83,0.0671,0.1186,0.0564,16000,1024,1561.22,0.0066,0.9924,0.0005,0.0004
2026-08-25T20:15:46.360+02:00,1000,1024,1024,1053,0,0,2,8,0.1058,0.1463,0.0823,0.2916,0.3432,0.2557,2.268,2.156,2.464,446.51,446.51,446.51,0.0796,0.1071,0.0565,16000,1024,1617.91,0.0142,0.9848,0.0005,0.0005
2026-08-25T20:16:16.350+02:00,1000,1024,1024,1053,0,0,1,9,0.1031,0.1511,0.2085,0.2434,0.3449,6.1598,2.253,2.169,744.108,49.6,446.65,446.69,0.0716,0.111,0.0546,16000,1024,1583.3,0.0115,0.9874,0.0005,0.0006
2026-08-25T20:16:46.340+02:00,1000,1024,1024,1053,0,0,1,10,0.0995,0.1588,0.0835,0.2523,0.3793,0.3412,2.336,2.184,2.851,447.83,447.87,447.92,0.1008,0.1681,0.0756,16000,1024,1689.02,0.0124,0.9864,0.0007,0.0004
2026-08-25T20:17:16.331+02:00,1000,1024,1024,1053,0,0,0,10,0.0987,0.1576,0.0821,0.2432,0.3804,0.2605,2.278,2.135,2.769,447.88,447.87,447.89,0.1111,0.1922,0.0844,16000,1024,1672.03,0.0091,0.9874,0.003,0.0005
2026-08-25T20:17:46.323+02:00,1000,1024,1024,1053,0,0,1,11,0.1005,0.163,0.2,0.2788,0.4143,5.8484,2.272,2.16,713.797,446.85,446.86,449.14,0.0806,0.1414,0.0528,16000,1024,1778.95,0.0043,0.9951,0.0004,0.0003
2026-08-25T20:18:16.315+02:00,1000,1024,1024,1053,0,1,0,11,0.106,0.1569,0.4293,0.5033,0.3832,6.1311,2.556,2.158,188.087,447.15,447.11,446.65,0.0743,0.1179,0.0775,16000,1024,1534.74,0.0131,0.9853,0.0006,0.001
2026-08-25T20:18:46.303+02:00,1000,1024,1024,1053,0,2,0,11,0.1028,0.1617,0.0825,0.2419,0.3934,0.2514,2.247,2.225,2.473,447.75,447.74,447.75,0.1089,0.1781,0.0795,16000,1024,1539.26,0.005,0.994,0.0007,0.0004
2026-08-25T20:19:16.295+02:00,1000,1024,1024,1053,0,4,0,11,0.1082,0.1558,0.3439,0.2595,0.3899,6.1414,2.189,2.228,297.904,447.64,447.64,447.29,0.1297,0.1881,0.0982,16000,1024,1536.4,0.0109,0.9879,0.0004,0.0008
2026-08-25T20:19:46.285+02:00,1000,1024,1024,1053,0,4,0,11,0.1013,0.1685,0.2083,0.2737,0.4102,6.1514,2.241,2.023,742.24,447.93,447.94,447.93,0.1148,0.2072,0.086,16000,1024,1767.15,0.0056,0.9934,0.0004,0.0005
2026-08-25T20:20:16.272+02:00,1000,1024,1024,1053,0,4,4,15,0.1056,0.1652,0.2009,0.5039,0.3995,5.8419,2.664,2.167,697.603,447.74,447.74,447.73,0.1167,0.1903,0.0857,16000,1024,1645.78,0.0049,0.9938,0.0007,0.0007
2026-08-25T20:20:46.264+02:00,1000,1024,1024,1053,0,4,0,15,0.1012,0.1708,0.0822,0.2573,0.3885,0.2194,2.274,2.068,2.409,447.91,447.91,447.88,0.1164,0.2101,0.0847,16000,1024,1727.59,0.0055,0.9931,0.0003,0.001
2026-08-25T20:21:16.258+02:00,1000,1024,1024,1054,0,4,2,17,0.1028,0.1686,0.084,0.2768,0.418,0.2208,2.305,2.077,2.496,447.83,447.86,447.85,0.1069,0.1903,0.0834,16000,1024,1874.74,0.0061,0.9933,0.0004,0.0002
2026-08-25T20:21:46.248+02:00,1000,1024,1024,1053,0,4,0,17,0.0998,0.1748,0.2082,0.2526,0.4062,6.148,2.322,1.987,743.05,446.91,446.93,447.03,0.0863,0.1754,0.0539,16000,1024,1886.57,0.0029,0.9963,0.0003,0.0004
2026-08-25T20:22:16.252+02:00,1000,1024,1024,1053,0,4,0,17,0.0997,0.1746,0.4732,0.2328,0.4054,6.1204,2.266,2.006,158.932,447.99,448.0,448.04,0.1124,0.2169,0.0875,16000,1024,1657.37,0.0048,0.9943,0.0004,0.0005
2026-08-25T20:22:46.229+02:00,1000,1024,1024,1053,0,4,0,17,0.1013,0.1792,0.2768,0.2707,0.4117,6.1336,2.311,2.139,426.885,447.46,447.42,447.34,0.0793,0.1556,0.0588,16000,1024,1895.7,0.0025,0.9964,0.0005,0.0006
2026-08-25T20:23:16.220+02:00,1000,1024,1024,1053,0,4,0,17,0.1009,0.1732,0.4238,0.2499,0.3976,6.1182,2.261,2.099,188.355,447.94,447.94,447.95,0.1177,0.2154,0.1031,16000,1024,1885.45,0.0049,0.9943,0.0003,0.0005
2026-08-25T20:23:46.210+02:00,1000,1024,1024,1053,0,4,3,20,0.1086,0.1775,0.0877,0.2419,0.4015,0.3219,2.143,2.067,2.829,447.22,447.2,447.19,0.0811,0.1432,0.0615,16000,1024,2020.6,0.0074,0.9921,0.0002,0.0003
