ts,vib_fs,vib_n,ms_capture,ms_total,failed_bursts,bad_frames,retries,total_retries,cont_rejects,total_cont_rejects,rms_x,rms_y,rms_z,peak_x,peak_y,peak_z,kurt_x,kurt_y,kurt_z,fdom_x,fdom_y,fdom_z,adom_x,adom_y,adom_z,aud_fs,aud_n,aud_rms,aud_b0,aud_b1,aud_b2,aud_b3
2026-08-25T21:02:35.907+02:00,1000,1024,1024,1053,3,6,8,294,7,156,0.0951,0.1473,0.0656,0.2796,0.3601,0.2453,2.403,2.148,2.756,448.09,448.09,448.03,0.0894,0.1698,0.0512,16000,1024,1559.38,0.0132,0.986,0.0004,0.0005
2026-08-25T21:03:05.898+02:00,1000,1024,1024,1053,3,6,6,300,5,161,0.0954,0.1492,0.0685,0.2362,0.3577,0.2337,2.43,2.069,2.784,448.14,448.16,448.19,0.0911,0.1765,0.0514,16000,1024,1666.54,0.0148,0.984,0.0008,0.0004
2026-08-25T21:03:35.888+02:00,1000,1024,1024,1053,3,6,2,302,1,162,0.0951,0.1495,0.0659,0.2542,0.3455,0.2221,2.478,2.185,2.75,49.66,447.17,447.18,0.0759,0.1272,0.0363,16000,1024,1594.32,0.011,0.9884,0.0004,0.0003
2026-08-25T21:04:05.878+02:00,1000,1024,1024,1053,3,6,3,305,1,163,0.0948,0.1515,0.0669,0.2407,0.3494,0.2235,2.514,2.091,2.762,49.78,448.12,448.08,0.0757,0.1511,0.0407,16000,1024,1630.28,0.0065,0.9927,0.0005,0.0003
2026-08-25T21:05:05.860+02:00,1000,1024,1024,1053,4,6,1,308,1,165,0.0961,0.1605,0.0674,0.2487,0.3701,0.1956,2.502,2.015,2.668,49.65,447.12,49.69,0.0755,0.147,0.0432,16000,1024,1842.49,0.0047,0.9943,0.0008,0.0002
2026-08-25T21:05:35.850+02:00,1000,1024,1024,1053,4,7,0,308,0,165,0.0956,0.1614,0.0641,0.2547,0.374,0.2028,2.436,2.047,2.777,49.67,447.01,49.63,0.0722,0.1571,0.0364,16000,1024,1856.78,0.0022,0.9971,0.0005,0.0002
2026-08-25T21:06:05.842+02:00,1000,1024,1024,1053,4,8,0,308,0,165,0.0951,0.1652,0.0652,0.2571,0.3627,0.2165,2.475,2.033,2.633,448.35,448.37,448.38,0.0946,0.2063,0.0483,16000,1024,1810.16,0.0085,0.9909,0.0004,0.0003
2026-08-25T21:06:35.838+02:00,1000,1024,1024,1054,4,8,8,316,8,173,0.099,0.1666,0.0648,0.2475,0.3862,0.2164,2.393,1.988,2.958,49.71,447.23,49.69,0.0796,0.1436,0.0406,16000,1024,1708.57,0.0129,0.9844,0.0024,0.0004
2026-08-25T21:07:05.823+02:00,1000,1024,1024,1053,4,8,1,317,1,174,0.0971,0.1707,0.066,0.2483,0.3998,0.2101,2.409,1.973,2.857,448.05,448.1,49.78,0.0762,0.1696,0.0393,16000,1024,1585.99,0.0058,0.9934,0.0005,0.0004
2026-08-25T21:07:35.814+02:00,1000,1024,1024,1053,4,8,1,318,1,175,0.0976,0.1722,0.0668,0.265,0.3742,0.1905,2.29,1.944,2.7,448.37,448.36,448.42,0.0976,0.2153,0.0495,16000,1024,1947.52,0.0083,0.9908,0.0006,0.0003
