ts,vib_fs,vib_n,ms_capture,ms_total,failed_bursts,bad_frames,retries,total_retries,cont_rejects,total_cont_rejects,unpublished_bursts,rms_x,rms_y,rms_z,peak_x,peak_y,peak_z,kurt_x,kurt_y,kurt_z,fdom_x,fdom_y,fdom_z,adom_x,adom_y,adom_z,f2_x,f2_y,f2_z,a2_x,a2_y,a2_z,f3_x,f3_y,f3_z,a3_x,a3_y,a3_z,aud_fs,aud_n,aud_rms,aud_b0,aud_b1,aud_b2,aud_b3
2026-08-26T11:44:42.084+02:00,1000,1024,1024,1056,7,9,1,291,1,94,0,0.1333,0.0426,0.0619,0.2824,0.368,0.2265,1.866,9.337,2.478,49.82,448.31,448.28,0.1801,0.2463,0.4024,398.51,398.5,398.51,0.0887,0.1216,0.1883,448.28,498.17,49.81,0.0768,0.1062,0.0677,16000,1024,1349.19,0.0252,0.9733,0.0009,0.0006
2026-08-26T11:45:42.070+02:00,1000,1024,1024,1056,8,9,30,327,11,105,0,0.1322,0.0484,0.0777,0.3528,0.3334,0.4934,1.908,10.097,7.349,49.78,447.97,448.01,0.1806,0.2324,0.372,398.18,398.09,398.14,0.0797,0.112,0.174,448.05,497.81,49.91,0.0703,0.0929,0.0629,16000,1024,1394.51,0.0268,0.9717,0.001,0.0004
2026-08-26T11:46:12.058+02:00,1000,1024,1024,1056,8,9,1,328,0,105,0,0.1317,0.0424,0.0614,0.2657,0.2285,0.2888,1.891,3.513,3.487,49.62,449.18,446.9,0.1803,0.1599,0.2603,397.15,397.15,397.17,0.0707,0.0957,0.1444,449.23,496.49,49.72,0.0468,0.0644,0.0596,16000,1024,1425.29,0.007,0.9916,0.001,0.0005
2026-08-26T11:46:42.051+02:00,1000,1024,1024,1056,8,9,0,328,0,105,0,0.1314,0.04,0.0608,0.2677,0.3098,0.1609,1.809,7.976,2.477,49.76,447.96,447.98,0.1806,0.2631,0.4105,398.19,398.19,398.18,0.0882,0.1214,0.19,447.99,497.73,49.74,0.0764,0.1029,0.0685,16000,1024,1318.72,0.0098,0.9888,0.0009,0.0005
2026-08-26T11:47:12.039+02:00,1000,1024,1024,1056,8,10,0,328,0,105,0,0.1334,0.0437,0.0617,0.279,0.3257,0.4665,1.85,9.833,6.443,49.71,447.82,447.77,0.1801,0.2146,0.3221,397.96,398.0,398.0,0.0768,0.0989,0.1644,447.84,497.47,49.72,0.0585,0.0872,0.0628,16000,1024,1269.4,0.0218,0.9765,0.001,0.0006
2026-08-26T11:48:12.024+02:00,1000,1024,1024,1056,9,10,4,352,4,110,0,0.133,0.0384,0.0634,0.274,0.1334,0.4298,1.845,2.682,4.685,49.7,447.43,447.49,0.1812,0.2079,0.3047,397.67,397.63,397.68,0.0671,0.0893,0.1426,447.45,497.12,49.69,0.0574,0.0752,0.0745,16000,1024,1303.13,0.008,0.9899,0.0011,0.001
2026-08-26T11:48:42.013+02:00,1000,1024,1024,1056,9,10,10,362,1,111,0,0.1317,0.0526,0.0822,0.3394,0.311,0.3937,1.989,6.784,5.452,49.64,447.54,447.6,0.1475,0.181,0.259,397.77,497.53,397.76,0.0548,0.0781,0.1202,447.53,397.71,452.61,0.0514,0.0723,0.0742,16000,1024,1329.64,0.0222,0.9758,0.0009,0.001
2026-08-26T11:49:12.004+02:00,1000,1024,1024,1056,9,10,3,365,0,111,0,0.1322,0.0451,0.0746,0.3019,0.4533,0.6568,1.838,18.067,10.317,49.75,447.68,447.71,0.1469,0.2153,0.3077,397.89,397.83,397.87,0.0621,0.0858,0.1378,447.74,497.49,452.3,0.0535,0.0819,0.0898,16000,1024,1331.57,0.0119,0.9868,0.0008,0.0005
2026-08-26T11:49:41.996+02:00,1000,1024,1026,1059,9,10,20,385,4,115,0,0.1344,0.067,0.096,0.3073,0.3176,0.3971,1.886,6.099,5.101,49.69,447.4,447.48,0.1292,0.1462,0.2061,38.91,451.66,452.76,0.0431,0.0676,0.0869,397.84,397.64,439.16,0.0451,0.0591,0.0839,16000,1024,1370.7,0.0114,0.9867,0.0013,0.0007
2026-08-26T11:50:11.986+02:00,1000,1024,1024,1056,9,10,1,386,0,115,0,0.1331,0.0396,0.0665,0.2718,0.2898,0.3356,1.797,7.762,3.593,49.76,448.1,448.09,0.1803,0.2802,0.3925,398.24,398.29,398.22,0.0761,0.1031,0.1661,448.15,497.84,49.77,0.0715,0.0951,0.0712,16000,1024,1315.11,0.0129,0.9844,0.0015,0.0012
