ts,tempExt,accX,accY,accZ,gyroX,gyroY,gyroZ,motorTemp,noise
2026-08-26T11:44:16.127+02:00,25.38,1.78,-2.06,12.22,-0.13,-0.08,0.01,31.02,2700
2026-08-26T11:44:17.127+02:00,25.38,1.65,-1.79,11.99,-0.12,-0.08,0.01,31.07,3071
2026-08-26T11:44:18.126+02:00,25.38,1.41,-1.58,11.44,-0.11,-0.07,0.02,31.12,1377
2026-08-26T11:44:19.126+02:00,25.38,1.57,-1.38,11.35,-0.1,-0.07,0.01,31.17,1007
2026-08-26T11:44:20.126+02:00,25.38,1.59,-1.46,11.23,-0.1,-0.07,0.0,31.17,1740
2026-08-26T11:44:21.126+02:00,25.38,1.81,-1.36,11.78,-0.11,-0.08,0.0,31.12,1013
2026-08-26T11:44:22.125+02:00,25.38,1.54,-1.54,11.68,-0.11,-0.08,0.01,31.07,1440
2026-08-26T11:44:23.125+02:00,25.44,1.54,-1.53,11.24,-0.1,-0.07,0.01,31.12,1308
2026-08-26T11:44:24.124+02:00,25.38,1.58,-1.3,11.01,-0.1,-0.07,0.0,31.02,1185
2026-08-26T11:44:25.125+02:00,25.38,1.69,-1.3,11.21,-0.09,-0.07,0.0,31.12,1337
2026-08-26T11:44:26.124+02:00,25.44,1.48,-1.51,11.47,-0.1,-0.07,0.01,31.12,1587
2026-08-26T11:44:27.124+02:00,25.38,1.52,-1.47,11.87,-0.11,-0.07,0.01,31.07,2206
2026-08-26T11:44:28.123+02:00,25.38,1.77,-1.69,12.21,-0.09,-0.06,0.0,31.17,1495
2026-08-26T11:44:29.120+02:00,25.38,1.76,-1.09,11.0,-0.09,-0.06,0.0,31.17,1339
2026-08-26T11:44:30.120+02:00,25.38,1.56,-1.32,11.13,-0.09,-0.07,0.01,31.12,5386
2026-08-26T11:44:31.120+02:00,25.38,1.5,-1.3,11.39,-0.11,-0.08,0.01,31.12,917
2026-08-26T11:44:32.119+02:00,25.38,1.78,-1.49,11.94,-0.11,-0.07,0.0,31.17,2259
2026-08-26T11:44:33.119+02:00,25.38,1.97,-1.93,12.27,-0.11,-0.07,0.0,31.21,1325
